chart_id,pattern,title,y_ticks,data_file
upward_positive_high_population,Upward,Population upward trend has steadily improved across multiple periods,"[0, 50, 100]",2-26_up2.json
downward_negative_low_population,Downward,Population downward trend shows decline,"[0, 50, 100]",2-26_dn2.json
downward_trend_high_population,Downward,Population values are declining in a downward trend over the last two decades,"[0, 50, 100]",2-26_dn2.json
peak_variable_low_population,Peak,Population reached the highest values,"[0, 50, 100]",2-26_pk2.json
peak_neutral_high_population,Peak,This chart shows population peak data across years with historical context,"[0, 50, 100]",2-26_pk2.json
valley_positive_low_population,Valley,Population valley trend shows improvement,"[0, 50, 100]",2-26_val1.json
valley_negative_high_population,Valley,Population valley trend has steadily declined across multiple periods,"[0, 50, 100]",2-26_val1.json
periodic_trend_low_population,Periodic,Population values are fluctuating in an irregular pattern,"[0, 50, 100]",2-12_uni2.json
periodic_variable_high_population,Periodic,Population values lagged behind others in an irregular pattern when compared across regions and years,"[0, 50, 100]",2-12_uni2.json
uniform_neutral_low_population,Uniform,Population uniform data over time,"[0, 50, 100]",3-24_uni1.json
uniform_positive_high_population,Uniform,Population uniform trend has steadily improved across multiple periods,"[0, 50, 100]",3-23_test.json
irregular_negative_low_population,Irregular,Population irregular trend shows decline,"[0, 50, 100]",js_uniformData3.json
irregular_trend_high_population,Irregular,Population values are fluctuating in an irregular pattern over the last two decades,"[0, 50, 100]",3-5_irr1.json
