Trial_Number,Message_Framing,Context_Level,Chart_Pattern,Category,Chart_ID,Title
61,Variable,Low,Peak,Population,peak_variable_low_population,Population reached the highest values
62,Neutral,High,Peak,Population,peak_neutral_high_population,This chart shows population peak data across years with historical context
63,Positive,Low,Valley,Population,valley_positive_low_population,Population valley trend shows improvement
64,Negative,High,Valley,Population,valley_negative_high_population,Population valley trend has steadily declined across multiple periods
65,Trend,Low,Periodic,Population,periodic_trend_low_population,Population values are fluctuating in an irregular pattern
66,Variable,High,Periodic,Population,periodic_variable_high_population,Population values lagged behind others in an irregular pattern when compared across regions and years
67,Neutral,Low,Uniform,Population,uniform_neutral_low_population,Population uniform data over time
68,Positive,High,Uniform,Population,uniform_positive_high_population,Population uniform trend has steadily improved across multiple periods
69,Negative,Low,Irregular,Population,irregular_negative_low_population,Population irregular trend shows decline
70,Trend,High,Irregular,Population,irregular_trend_high_population,Population values are fluctuating in an irregular pattern over the last two decades
